index,season,conf,division,team,wins,losses,ties,pct,div_rank,scored,allowed,net,sov,sos,seed,playoff,scored_diff,net_diff,sign
554,2019,AFC,AFC South,JAX,6,10,0,0.375,4,300,397,-97,0.40625,0.484375,NaN,NaN,55.0,-26.0,0
586,2020,AFC,AFC South,JAX,1,3,0,0.25,3,95,117,-22,0.1875,0.03125,NaN,NaN,-205.0,75.0,1
13,2002,AFC,AFC West,KC,8,8,0,0.5,4,467,399,68,0.515625,0.527344,NaN,NaN,372.0,90.0,1
45,2003,AFC,AFC West,KC,13,3,0,0.8125,1,484,332,152,0.384615,0.417969,2.0,LostDV,17.0,84.0,1
77,2004,AFC,AFC West,KC,7,9,0,0.4375,3,483,435,48,0.508929,0.550781,NaN,NaN,-1.0,-104.0,0
109,2005,AFC,AFC West,KC,10,6,0,0.625,2,403,325,78,0.475,0.503906,NaN,NaN,-80.0,30.0,1
141,2006,AFC,AFC West,KC,9,7,0,0.5625,2,331,315,16,0.444444,0.492188,6.0,LostWC,-72.0,-62.0,0
173,2007,AFC,AFC West,KC,4,12,0,0.25,3,226,335,-109,0.46875,0.515625,NaN,NaN,-105.0,-125.0,0
205,2008,AFC,AFC West,KC,2,14,0,0.125,4,291,440,-149,0.40625,0.535156,NaN,NaN,65.0,-40.0,0
237,2009,AFC,AFC West,KC,4,12,0,0.25,4,294,424,-130,0.40625,0.515625,NaN,NaN,3.0,19.0,1
269,2010,AFC,AFC West,KC,10,6,0,0.625,1,366,326,40,0.38125,0.414062,4.0,LostWC,72.0,170.0,1
301,2011,AFC,AFC West,KC,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,NaN,NaN,-154.0,-166.0,0
333,2012,AFC,AFC West,KC,2,14,0,0.125,4,211,425,-214,0.4375,0.515625,NaN,NaN,-1.0,-88.0,0
365,2013,AFC,AFC West,KC,11,5,0,0.6875,2,430,305,125,0.335227,0.445312,5.0,LostWC,219.0,339.0,1
397,2014,AFC,AFC West,KC,9,7,0,0.5625,2,353,281,72,0.5,0.511719,NaN,NaN,-77.0,-53.0,0
429,2015,AFC,AFC West,KC,11,5,0,0.6875,2,409,308,101,0.431818,0.496094,5.0,LostDV,56.0,29.0,1
461,2016,AFC,AFC West,KC,12,4,0,0.75,1,389,311,78,0.479167,0.507812,2.0,LostDV,-20.0,-23.0,0
493,2017,AFC,AFC West,KC,10,6,0,0.625,1,415,339,76,0.48125,0.476562,4.0,LostWC,26.0,-2.0,0
525,2018,AFC,AFC West,KC,12,4,0,0.75,1,565,421,144,0.395833,0.476562,1.0,LostCC,150.0,68.0,1
557,2019,AFC,AFC West,KC,12,4,0,0.75,1,451,308,143,0.473958,0.507812,2.0,WonSB,-114.0,-1.0,0
589,2020,AFC,AFC West,KC,4,0,0,1.0,1,117,70,47,0.09375,0.0234375,1.0,NaN,-334.0,-96.0,0
494,2017,AFC,AFC West,LAC,9,7,0,0.5625,2,355,272,83,0.347222,0.457031,NaN,NaN,249.0,57.0,1
526,2018,AFC,AFC West,LAC,12,4,0,0.75,2,428,329,99,0.416667,0.472656,5.0,LostDV,73.0,16.0,1
558,2019,AFC,AFC West,LAC,5,11,0,0.3125,4,337,345,-8,0.4875,0.511719,NaN,NaN,-91.0,-107.0,0
590,2020,AFC,AFC West,LAC,1,3,0,0.25,3,83,95,-12,0.0625,0.0390625,NaN,NaN,-254.0,-4.0,0
591,2020,AFC,AFC West,LV,2,2,0,0.5,2,111,120,-9,0.125,0.0390625,NaN,NaN,28.0,3.0,1
1,2002,AFC,AFC East,MIA,9,7,0,0.5625,3,378,301,77,0.486111,0.507812,NaN,NaN,267.0,86.0,1
33,2003,AFC,AFC East,MIA,10,6,0,0.625,2,311,261,50,0.3875,0.511719,NaN,NaN,-67.0,-27.0,0
65,2004,AFC,AFC East,MIA,4,12,0,0.25,4,275,354,-79,0.4375,0.554688,NaN,NaN,-36.0,-129.0,0
97,2005,AFC,AFC East,MIA,9,7,0,0.5625,2,318,317,1,0.4375,0.457031,NaN,NaN,43.0,80.0,1
129,2006,AFC,AFC East,MIA,6,10,0,0.375,4,260,283,-23,0.53125,0.542969,NaN,NaN,-58.0,-24.0,0
161,2007,AFC,AFC East,MIA,1,15,0,0.0625,4,267,437,-170,0.3125,0.539062,NaN,NaN,7.0,-147.0,0
193,2008,AFC,AFC East,MIA,11,5,0,0.6875,1,345,317,28,0.397727,0.460938,3.0,LostWC,78.0,198.0,1
225,2009,AFC,AFC East,MIA,7,9,0,0.4375,3,360,390,-30,0.464286,0.558594,NaN,NaN,15.0,-58.0,0
257,2010,AFC,AFC East,MIA,7,9,0,0.4375,3,273,333,-60,0.4375,0.539062,NaN,NaN,-87.0,-30.0,0
289,2011,AFC,AFC East,MIA,6,10,0,0.375,3,329,313,16,0.416667,0.503906,NaN,NaN,56.0,76.0,1
321,2012,AFC,AFC East,MIA,7,9,0,0.4375,2,288,317,-29,0.410714,0.496094,NaN,NaN,-41.0,-45.0,0
353,2013,AFC,AFC East,MIA,8,8,0,0.5,3,317,335,-18,0.515625,0.519531,NaN,NaN,29.0,11.0,1
385,2014,AFC,AFC East,MIA,8,8,0,0.5,3,388,373,15,0.40625,0.511719,NaN,NaN,71.0,33.0,1
417,2015,AFC,AFC East,MIA,6,10,0,0.375,4,310,389,-79,0.458333,0.46875,NaN,NaN,-78.0,-94.0,0
449,2016,AFC,AFC East,MIA,10,6,0,0.625,2,363,380,-17,0.3375,0.449219,6.0,LostWC,53.0,62.0,1
481,2017,AFC,AFC East,MIA,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,NaN,NaN,-82.0,-95.0,0
513,2018,AFC,AFC East,MIA,7,9,0,0.4375,2,319,433,-114,0.446429,0.464844,NaN,NaN,38.0,-2.0,0
545,2019,AFC,AFC East,MIA,5,11,0,0.3125,4,306,494,-188,0.4625,0.484375,NaN,NaN,-13.0,-74.0,0
577,2020,AFC,AFC East,MIA,1,3,0,0.25,3,93,96,-3,0.0625,0.0429688,NaN,NaN,-213.0,185.0,1
2,2002,AFC,AFC East,NE,9,7,0,0.5625,2,381,346,35,0.451389,0.523438,NaN,NaN,275.0,54.0,1
34,2003,AFC,AFC East,NE,14,2,0,0.875,1,348,238,110,0.504464,0.484375,1.0,WonSB,-33.0,75.0,1
66,2004,AFC,AFC East,NE,14,2,0,0.875,1,437,260,177,0.477679,0.492188,2.0,WonSB,89.0,67.0,1
98,2005,AFC,AFC East,NE,10,6,0,0.625,1,379,338,41,0.4,0.507812,4.0,LostDV,-58.0,-136.0,0
130,2006,AFC,AFC East,NE,12,4,0,0.75,1,385,237,148,0.46875,0.496094,4.0,LostCC,6.0,107.0,1
162,2007,AFC,AFC East,NE,16,0,0,1.0,1,589,274,315,0.46875,0.46875,1.0,LostSB,204.0,167.0,1
194,2008,AFC,AFC East,NE,11,5,0,0.6875,2,410,309,101,0.403409,0.480469,NaN,NaN,-179.0,-214.0,0
226,2009,AFC,AFC East,NE,10,6,0,0.625,1,427,285,142,0.45,0.515625,3.0,LostWC,17.0,41.0,1
258,2010,AFC,AFC East,NE,14,2,0,0.875,1,518,313,205,0.504464,0.503906,1.0,LostDV,91.0,63.0,1
290,2011,AFC,AFC East,NE,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,1.0,LostSB,-5.0,-34.0,0
322,2012,AFC,AFC East,NE,12,4,0,0.75,1,557,331,226,0.463542,0.492188,2.0,LostCC,44.0,55.0,1
354,2013,AFC,AFC East,NE,12,4,0,0.75,1,444,338,106,0.427083,0.46875,2.0,LostCC,-113.0,-120.0,0
386,2014,AFC,AFC East,NE,12,4,0,0.75,1,468,313,155,0.484375,0.511719,1.0,WonSB,24.0,49.0,1
418,2015,AFC,AFC East,NE,12,4,0,0.75,1,465,315,150,0.453125,0.472656,2.0,LostCC,-3.0,-5.0,0
450,2016,AFC,AFC East,NE,14,2,0,0.875,1,441,258,183,0.419643,0.433594,1.0,WonSB,-24.0,33.0,1
482,2017,AFC,AFC East,NE,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,1.0,LostSB,17.0,-21.0,0
514,2018,AFC,AFC East,NE,11,5,0,0.6875,1,436,325,111,0.488636,0.476562,2.0,WonSB,-22.0,-51.0,0
546,2019,AFC,AFC East,NE,12,4,0,0.75,1,420,225,195,0.411458,0.46875,3.0,LostWC,-16.0,84.0,1
578,2020,AFC,AFC East,NE,2,2,0,0.5,2,97,92,5,0.09375,0.0429688,NaN,NaN,-323.0,-190.0,0
3,2002,AFC,AFC East,NYJ,9,7,0,0.5625,1,359,336,23,0.5,0.5,4.0,LostDV,312.0,72.0,1
35,2003,AFC,AFC East,NYJ,6,10,0,0.375,4,283,299,-16,0.395833,0.527344,NaN,NaN,-76.0,-39.0,0
67,2004,AFC,AFC East,NYJ,10,6,0,0.625,2,333,261,72,0.40625,0.523438,5.0,LostDV,50.0,88.0,1
99,2005,AFC,AFC East,NYJ,4,12,0,0.25,4,240,355,-115,0.453125,0.527344,NaN,NaN,-93.0,-187.0,0
131,2006,AFC,AFC East,NYJ,10,6,0,0.625,2,316,295,21,0.4,0.46875,5.0,LostWC,76.0,136.0,1
163,2007,AFC,AFC East,NYJ,4,12,0,0.25,3,268,355,-87,0.25,0.523438,NaN,NaN,-48.0,-108.0,0
195,2008,AFC,AFC East,NYJ,9,7,0,0.5625,3,405,356,49,0.458333,0.46875,NaN,NaN,137.0,136.0,1
227,2009,AFC,AFC East,NYJ,9,7,0,0.5625,2,348,236,112,0.506944,0.515625,5.0,LostCC,-57.0,63.0,1
259,2010,AFC,AFC East,NYJ,11,5,0,0.6875,2,367,304,63,0.409091,0.492188,6.0,LostCC,19.0,-49.0,0
291,2011,AFC,AFC East,NYJ,8,8,0,0.5,2,377,363,14,0.398438,0.5,NaN,NaN,10.0,-49.0,0
323,2012,AFC,AFC East,NYJ,6,10,0,0.375,3,281,375,-94,0.395833,0.507812,NaN,NaN,-96.0,-108.0,0
355,2013,AFC,AFC East,NYJ,8,8,0,0.5,2,290,387,-97,0.414062,0.484375,NaN,NaN,9.0,-3.0,0
387,2014,AFC,AFC East,NYJ,4,12,0,0.25,4,283,401,-118,0.375,0.542969,NaN,NaN,-7.0,-21.0,0
419,2015,AFC,AFC East,NYJ,10,6,0,0.625,2,387,314,73,0.39375,0.441406,NaN,NaN,104.0,191.0,1
451,2016,AFC,AFC East,NYJ,5,11,0,0.3125,4,275,409,-134,0.3125,0.511719,NaN,NaN,-112.0,-207.0,0
483,2017,AFC,AFC East,NYJ,5,11,0,0.3125,4,298,382,-84,0.4375,0.519531,NaN,NaN,23.0,50.0,1
515,2018,AFC,AFC East,NYJ,4,12,0,0.25,4,333,441,-108,0.4375,0.5,NaN,NaN,35.0,-24.0,0
547,2019,AFC,AFC East,NYJ,7,9,0,0.4375,3,276,359,-83,0.401786,0.472656,NaN,NaN,-57.0,25.0,1
579,2020,AFC,AFC East,NYJ,0,4,0,0.0,4,65,131,-66,0.0,0.0390625,NaN,NaN,-211.0,17.0,1
14,2002,AFC,AFC West,OAK,11,5,0,0.6875,1,450,304,146,0.528409,0.527344,1.0,LostSB,385.0,212.0,1
46,2003,AFC,AFC West,OAK,4,12,0,0.25,3,270,379,-109,0.484375,0.515625,NaN,NaN,-180.0,-255.0,0
78,2004,AFC,AFC West,OAK,5,11,0,0.3125,4,320,442,-122,0.45,0.570312,NaN,NaN,50.0,-13.0,0
110,2005,AFC,AFC West,OAK,4,12,0,0.25,4,290,383,-93,0.4375,0.539062,NaN,NaN,-30.0,29.0,1
142,2006,AFC,AFC West,OAK,2,14,0,0.125,4,168,332,-164,0.40625,0.554688,NaN,NaN,-122.0,-71.0,0
174,2007,AFC,AFC West,OAK,4,12,0,0.25,4,283,398,-115,0.34375,0.515625,NaN,NaN,115.0,49.0,1
206,2008,AFC,AFC West,OAK,5,11,0,0.3125,3,263,388,-125,0.45,0.519531,NaN,NaN,-20.0,-10.0,0
238,2009,AFC,AFC West,OAK,5,11,0,0.3125,3,197,379,-182,0.525,0.527344,NaN,NaN,-66.0,-57.0,0
270,2010,AFC,AFC West,OAK,8,8,0,0.5,3,410,371,39,0.46875,0.46875,NaN,NaN,213.0,221.0,1
302,2011,AFC,AFC West,OAK,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,NaN,NaN,-51.0,-113.0,0
334,2012,AFC,AFC West,OAK,4,12,0,0.25,3,290,443,-153,0.21875,0.46875,NaN,NaN,-69.0,-79.0,0
366,2013,AFC,AFC West,OAK,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,NaN,NaN,32.0,22.0,1
398,2014,AFC,AFC West,OAK,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,NaN,NaN,-69.0,-68.0,0
430,2015,AFC,AFC West,OAK,7,9,0,0.4375,3,359,399,-40,0.366071,0.511719,NaN,NaN,106.0,159.0,1
462,2016,AFC,AFC West,OAK,12,4,0,0.75,2,416,385,31,0.442708,0.503906,5.0,LostWC,57.0,71.0,1
495,2017,AFC,AFC West,OAK,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,NaN,NaN,-115.0,-103.0,0
527,2018,AFC,AFC West,OAK,4,12,0,0.25,4,290,467,-177,0.390625,0.542969,NaN,NaN,-11.0,-105.0,0
559,2019,AFC,AFC West,OAK,7,9,0,0.4375,3,313,419,-106,0.330357,0.480469,NaN,NaN,23.0,71.0,1
7,2002,AFC,AFC North,PIT,10,5,1,0.65625,1,390,345,45,0.44375,0.484375,3.0,LostDV,306.0,68.0,1
39,2003,AFC,AFC North,PIT,6,10,0,0.375,3,300,327,-27,0.364583,0.5,NaN,NaN,-90.0,-72.0,0
71,2004,AFC,AFC North,PIT,15,1,0,0.9375,1,372,251,121,0.479167,0.484375,1.0,LostCC,72.0,148.0,1
103,2005,AFC,AFC North,PIT,11,5,0,0.6875,2,389,258,131,0.414773,0.492188,6.0,WonSB,17.0,10.0,1
135,2006,AFC,AFC North,PIT,8,8,0,0.5,3,353,315,38,0.414062,0.496094,NaN,NaN,-36.0,-93.0,0
167,2007,AFC,AFC North,PIT,10,6,0,0.625,1,393,269,124,0.40625,0.453125,4.0,LostWC,40.0,86.0,1
199,2008,AFC,AFC North,PIT,12,4,0,0.75,1,347,223,124,0.453125,0.519531,2.0,WonSB,-46.0,0.0,UnChanged
231,2009,AFC,AFC North,PIT,9,7,0,0.5625,3,368,324,44,0.520833,0.488281,NaN,NaN,21.0,-80.0,0
263,2010,AFC,AFC North,PIT,12,4,0,0.75,1,375,232,143,0.416667,0.5,2.0,LostSB,7.0,99.0,1
295,2011,AFC,AFC North,PIT,12,4,0,0.75,2,325,227,98,0.411458,0.492188,5.0,LostWC,-50.0,-45.0,0
327,2012,AFC,AFC North,PIT,8,8,0,0.5,3,336,314,22,0.4375,0.464844,NaN,NaN,11.0,-76.0,0
359,2013,AFC,AFC North,PIT,8,8,0,0.5,2,379,370,9,0.4375,0.460938,NaN,NaN,43.0,-13.0,0
391,2014,AFC,AFC North,PIT,11,5,0,0.6875,1,436,368,68,0.477273,0.445312,3.0,LostWC,57.0,59.0,1
423,2015,AFC,AFC North,PIT,10,6,0,0.625,2,429,327,102,0.4625,0.503906,6.0,LostDV,-7.0,34.0,1
455,2016,AFC,AFC North,PIT,11,5,0,0.6875,1,399,327,72,0.414773,0.488281,3.0,LostCC,-30.0,-30.0,0
487,2017,AFC,AFC North,PIT,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,2.0,LostDV,7.0,26.0,1
519,2018,AFC,AFC North,PIT,9,6,1,0.59375,2,428,360,68,0.444444,0.5,NaN,NaN,22.0,-30.0,0
551,2019,AFC,AFC North,PIT,8,8,0,0.5,2,289,303,-14,0.320312,0.5,NaN,NaN,-139.0,-82.0,0
583,2020,AFC,AFC North,PIT,3,0,0,1.0,1,80,58,22,0.0208333,0.00390625,4.0,NaN,-209.0,36.0,1
15,2002,AFC,AFC West,SD,8,8,0,0.5,3,333,367,-34,0.453125,0.492188,NaN,NaN,253.0,-56.0,0
47,2003,AFC,AFC West,SD,4,12,0,0.25,4,313,441,-128,0.359375,0.503906,NaN,NaN,-20.0,-94.0,0
79,2004,AFC,AFC West,SD,12,4,0,0.75,1,446,313,133,0.411458,0.476562,4.0,LostWC,133.0,261.0,1
111,2005,AFC,AFC West,SD,9,7,0,0.5625,3,418,312,106,0.5,0.558594,NaN,NaN,-28.0,-27.0,0
143,2006,AFC,AFC West,SD,14,2,0,0.875,1,492,303,189,0.424107,0.457031,1.0,LostDV,74.0,83.0,1
175,2007,AFC,AFC West,SD,11,5,0,0.6875,1,412,284,128,0.431818,0.5,3.0,LostCC,-80.0,-61.0,0
207,2008,AFC,AFC West,SD,8,8,0,0.5,1,439,347,92,0.398438,0.515625,4.0,LostDV,27.0,-36.0,0
239,2009,AFC,AFC West,SD,13,3,0,0.8125,1,454,320,134,0.432692,0.453125,2.0,LostDV,15.0,42.0,1
271,2010,AFC,AFC West,SD,9,7,0,0.5625,2,441,322,119,0.409722,0.457031,NaN,NaN,-13.0,-15.0,0
303,2011,AFC,AFC West,SD,8,8,0,0.5,2,406,377,29,0.429688,0.515625,NaN,NaN,-35.0,-90.0,0
335,2012,AFC,AFC West,SD,7,9,0,0.4375,2,350,350,0,0.285714,0.457031,NaN,NaN,-56.0,-29.0,0
367,2013,AFC,AFC West,SD,9,7,0,0.5625,3,396,348,48,0.548611,0.492188,6.0,LostDV,46.0,48.0,1
399,2014,AFC,AFC West,SD,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,NaN,NaN,-48.0,-48.0,0
431,2015,AFC,AFC West,SD,4,12,0,0.25,4,320,398,-78,0.328125,0.527344,NaN,NaN,-28.0,-78.0,0
463,2016,AFC,AFC West,SD,5,11,0,0.3125,4,410,423,-13,0.5125,0.542969,NaN,NaN,90.0,65.0,1
11,2002,AFC,AFC South,TEN,11,5,0,0.6875,1,367,324,43,0.471591,0.476562,2.0,LostCC,228.0,16.0,1
43,2003,AFC,AFC South,TEN,12,4,0,0.75,2,435,324,111,0.401042,0.472656,5.0,LostDV,68.0,68.0,1
75,2004,AFC,AFC South,TEN,5,11,0,0.3125,4,344,439,-95,0.4625,0.511719,NaN,NaN,-91.0,-206.0,0
107,2005,AFC,AFC South,TEN,4,12,0,0.25,3,299,421,-122,0.21875,0.511719,NaN,NaN,-45.0,-27.0,0
139,2006,AFC,AFC South,TEN,8,8,0,0.5,2,324,400,-76,0.484375,0.570312,NaN,NaN,25.0,46.0,1
171,2007,AFC,AFC South,TEN,10,6,0,0.625,3,301,297,4,0.4375,0.5,6.0,LostWC,-23.0,80.0,1
203,2008,AFC,AFC South,TEN,13,3,0,0.8125,1,375,234,141,0.423077,0.457031,1.0,LostDV,74.0,137.0,1
235,2009,AFC,AFC South,TEN,8,8,0,0.5,3,354,402,-48,0.414062,0.539062,NaN,NaN,-21.0,-189.0,0
267,2010,AFC,AFC South,TEN,6,10,0,0.375,4,356,339,17,0.5,0.507812,NaN,NaN,2.0,65.0,1
299,2011,AFC,AFC South,TEN,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,NaN,NaN,-31.0,-9.0,0
331,2012,AFC,AFC South,TEN,6,10,0,0.375,3,330,471,-141,0.34375,0.511719,NaN,NaN,5.0,-149.0,0
363,2013,AFC,AFC South,TEN,7,9,0,0.4375,2,362,381,-19,0.375,0.503906,NaN,NaN,32.0,122.0,1
395,2014,AFC,AFC South,TEN,2,14,0,0.125,4,254,438,-184,0.375,0.503906,NaN,NaN,-108.0,-165.0,0
427,2015,AFC,AFC South,TEN,3,13,0,0.1875,4,299,423,-124,0.375,0.492188,NaN,NaN,45.0,60.0,1
459,2016,AFC,AFC South,TEN,9,7,0,0.5625,2,386,378,8,0.458333,0.464844,NaN,NaN,87.0,132.0,1
491,2017,AFC,AFC South,TEN,9,7,0,0.5625,2,334,356,-22,0.395833,0.433594,5.0,LostDV,-52.0,-30.0,0
523,2018,AFC,AFC South,TEN,9,7,0,0.5625,3,310,303,7,0.465278,0.519531,NaN,NaN,-24.0,29.0,1
555,2019,AFC,AFC South,TEN,9,7,0,0.5625,2,402,331,71,0.465278,0.488281,6.0,LostCC,92.0,64.0,1
587,2020,AFC,AFC South,TEN,3,0,0,1.0,1,80,74,6,0.0625,0.0117188,3.0,NaN,-322.0,-65.0,0
